CDU;Christlich Demokratische Union;#333333
SPD;Sozialdemokratische Partei Deutschlands;#e20019
FDP;Freie Demokratische Partei;#ffd600
DIE LINKE;Die Linke;#B837C1
GRÜNE;Bündnis 90/Die Grüne;#1faf12
CSU;Christlich-Soziale Union;#333333
PIRATEN;Piraten;#ff8800
NPD;Nationaldemokratische Partei Deutschlands;#e20020
Tierschutzpartei;Tierschutzpartei;#b9d5fb
REP;Die Republikaner;
ÖDP;Ökologisch-Demokratische Partei;
FAMILIE;Familienpartei;
Bündnis 21/RRP;Bündnis 21/Rentnerinnen- und Rentner-Partei;
RENTNER;Rentner Partei;
BP;Bayernpartei;
PBC;Partei Bibeltreuer Christen Deutschland;
BüSo;Bürgerrechtsbewegung Solidarität;
DIE VIOLETTEN;Die Violetten;
MLPD;Marxistisch-Leninistische Partei Deutschlands;
Volksabstimmung;Volksabstimmung;
PSG;Partei für Demokratie durch Volksabstimmung;
AfD;Alternative für Deutschland;
BIG;Bündnis für Innovation und Gerechtigkeit;
pro Deutschland;Bürgerbewegung pro Deutschland;
DIE RECHTE;Die Rechte;
DIE FRAUEN;Feministische Partei Die Frauen;
FREIE WÄHLER;Freie Wähler Bundesvereinigung;
Nichtwähler;Partei der Nichtwähler;
PARTEI DER VERNUNFT;Partei der Vernunft;
Die PARTEI;Die Partei;
B;Bergpartei;
BGD;Bund Für Gesamtdeutschland;
DKP;Deutsche Kommunisten Partei;
NEIN!;Nein!-Idee;
ZENTRUM;Deutsche Zentrumspartei;
ADM;Allianz der Mitte;
CM;Christliche Mitte;
DVU;Deutsche Volksunion;
FWD;Freie Wähler Deutschland;
RRP;Rentnerinnen- und Rentner-Partei;
Freie Union;Freie Union;
Offensive D;Partei Rechtsstaatlicher Offensive;
GRAUE;Graue Panther;
Deutschland;Deutschlandpartei;
AGFG;Allianz für Gesundheit, Frieden und Soziale Gerechtigkeit;
APPD;Anarchistische Pogo-Partei Deutschlands;
50Plus;50Plus Das Generationen-Bündnis;
Pro DM;Pro Deutsche Mitte;
DSU;Deutsche Soziale Union;
HP;Humanistische Partei;
HUMANWIRTSCHAFTS- PARTEI;Humanwirtschaftspartei;
STATT Partei;Statt Partei;
UNABHÄNGIGE;Unabhängige Arbeiter-Partei;
